ID du Ticket: 98c11e0eb8aa4efc8203, Numéros: [33, 2, 20, 55, 13], Categorie: 2
ID du Ticket: ed849d5b44b04795844a, Numéros: [1, 5, 55, 59, 28], Categorie: 1
ID du Ticket: b462b65abd8e4ebf85fb, Numéros: [21, 70, 57, 43, 77], Categorie: 1
ID du Ticket: 404fb6714f9e4fb0ba3d, Numéros: [2, 53, 6, 62, 15], Categorie: 1
ID du Ticket: fcdea38007a8479bb128, Numéros: [86, 39, 40, 12, 45], Categorie: 1
ID du Ticket: 22eb88e36c994ab99ad4, Numéros: [83, 36, 85, 7, 12], Categorie: 1
ID du Ticket: 37cd455ec77f4e57a0a9, Numéros: [34, 69, 53, 62, 14], Categorie: 1
ID du Ticket: f725422a00ed4b4e9ea8, Numéros: [50, 5, 61, 13, 46], Categorie: 1
ID du Ticket: f42368084960455b9974, Numéros: [64, 49, 33, 90, 61], Categorie: 1
ID du Ticket: ad3434adf85c4baba879, Numéros: [19, 67, 69, 5, 54], Categorie: 1
ID du Ticket: 05d2bbf893894807b381, Numéros: [39, 42, 26, 12, 44], Categorie: 1
ID du Ticket: 6a00dd5099a6491c97da, Numéros: [53, 70, 39, 60, 79], Categorie: 1
ID du Ticket: 7b93f7f4327f43faa25c, Numéros: [64, 55, 41, 42, 47], Categorie: 1
ID du Ticket: 5c1de522060c4118aad5, Numéros: [65, 5, 21, 9, 47], Categorie: 1
ID du Ticket: daa6e21c9d16408c83f0, Numéros: [37, 86, 8, 26, 61], Categorie: 1
ID du Ticket: 360e9fbb34a1430a9f4b, Numéros: [33, 20, 22, 11, 45], Categorie: 2
ID du Ticket: b6d4bc5735404d2a894c, Numéros: [68, 8, 74, 78, 63], Categorie: 1
ID du Ticket: b141b028126a4f9497db, Numéros: [4, 86, 70, 55, 25], Categorie: 1
ID du Ticket: eef67721734d4a7dbdc3, Numéros: [16, 84, 27, 11, 47], Categorie: 1
ID du Ticket: 0e5c6498f0a64dbf9636, Numéros: [32, 17, 44, 62, 47], Categorie: 1
ID du Ticket: d74c9ca6e7f0478690e7, Numéros: [84, 52, 21, 71, 56], Categorie: 1
